dm-dynamo2k8 "The Dynamo"
dm-omega2k8 "The Omega Zone"
dm-dismal2k8 "Dismal Outpost"
dm-warmachine "The War Machine"
dm-eternal "Eternal Alienation"
dm-crucible "Crucible of Death"
dm-turbo2k8 "Turbocharger"
dm-titan2k8 "Titan 2008"
dm-liberation "Final Liberation"
dm-aquous "Aquous"
dm-europa2k8 "Europa 2008"
dm-corrosion "Corrosion"
dm-atlantis2k8 "Atlantis"
dm-furious2k8 "Fury of Phobos"
dm-leviathan2k8 "The Leviathan"
dm-zion	"Last Days of Zion"
dm-bloodfactory "Blood Factory"
dm-command "Command Center"
dm-violator "The Violator"
dm-saucer "The Saucer"
dm-horus "Tomb of Horus"
dm-vesuvius "The Vesuvius Project"
dm-beyond "Beyond Deva"
dm-dread "The Dread Works"
dm-zorn "Destination Zorn"
dm-chasmatic "Gauntlet Chasm"
ctf-cryogenic "Dawn of Cryogenics"
ctf-titan2k8 "Titan Station CTF"
ctf-atlantis "Atlantis CTF"
ctf-corrosion "Corrosion CTF"
ctf-zorn "Destination Zorn CTF"
ctf-icarus2 "Icarus CTF"
ctf-chromium "Chromium CTF"
ctf-vesuvius "Vesuvius Project CTF"
ctf-europa2k8 "Europa Station CTF"
ctf-frost "Frost Byte CTF"
aoa-morpheus "Morpheus Project AOA"
aoa-zorn "Destination Zorn AOA"
aoa-corrosion "Corrosion AOA"
aoa-atlantis "Atlantis AOA"
aoa-frost "Frost Byte AOA"
db-chromium "Chromium DB"
db-vesuvius "Vesuvius Project DB"
db-icarus "Icarus DB"
tca-cryogenic "Dawn of Cryogenics TCA"
tca-titan2k8 "Titan Station TCA"
tca-zion "Last Days of Zion TCA"
tca-corrosion "Corrosion TCA"
tca-europa2k8 "Europa Station TCA"
tca-frost "Frost Byte TCA"
cp-grindery "The Grindery CP"
